Output_Category_Name,Output_Standard_Code,Output_Standard_Name,Output_Indicator_Code,Output_Indicator_Name,Intermediate_Output_Indicator,SOAlign,Reporting_level,Ouptut or Other Output,APR_Include,Data_source,No_of_countries,No_of_measurements,Target,Actual,Progress
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",B.1.4,Quantity of fortified food provided for girls and boys benefiting from emergency school-based programming,N/A,FALSE,N/A,Output,APR & ACR,NutriousFood,1,1,13875,3827,28%
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",B.1.5,Quantity of fortified food provided unconditionally or to restore infrastructure and community assets,N/A,FALSE,N/A,Output,APR & ACR,NutriousFood,1,2,284,45,16%
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",B.1.5,Quantity of fortified food provided unconditionally or to restore infrastructure and community assets,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,3,14,3295,2431,74%
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",B.2.1,Quantity of specialized nutritious foods provided to treat or prevent malnutrition,N/A,FALSE,N/A,Output,APR & ACR,NutriousFood,8,43,106572,28405,27%
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",B.2.1,Quantity of specialized nutritious foods provided to treat or prevent malnutrition,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,27,214,357965,169480,47%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",B.1.3,Quantity of fortified food provided for girls and boys benefiting from school-based programming,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,1,11,1349,2660,197%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",B.1.5,Quantity of fortified food provided unconditionally or to restore infrastructure and community assets,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,5,18,6461,4779,74%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",B.2.1,Quantity of specialized nutritious foods provided to treat or prevent malnutrition,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,2,2,5,244,4836%
Resources transferred,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",B.1.2,Quantity of fortified food provided to treat or prevent malnutrition,N/A,FALSE,N/A,Output,APR & ACR,NutriousFood,6,11,835,18,2%
Resources transferred,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",B.1.2,Quantity of fortified food provided to treat or prevent malnutrition,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,16,52,2339,433,19%
Resources transferred,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",B.1.3,Quantity of fortified food provided for girls and boys benefiting from school-based programming,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,2,8,310,1020,329%
Resources transferred,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",B.2.1,Quantity of specialized nutritious foods provided to treat or prevent malnutrition,N/A,FALSE,N/A,Output,APR & ACR,NutriousFood,11,50,34797,22904,66%
Resources transferred,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",B.2.1,Quantity of specialized nutritious foods provided to treat or prevent malnutrition,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,28,179,163280,46184,28%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,A.2.9,Quantity of food provided to schools through Home-Grown School-Based Programmes,N/A,FALSE,N/A,Output,APR & ACR,NutriousFood,3,9,2454,1113,45%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,A.2.9,Quantity of food provided to schools through Home-Grown School-Based Programmes,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,16,60,64931,6514,10%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,B.1.3,Quantity of fortified food provided for girls and boys benefiting from school-based programming,N/A,FALSE,N/A,Output,APR & ACR,NutriousFood,10,39,3996,12357,309%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,B.1.3,Quantity of fortified food provided for girls and boys benefiting from school-based programming,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,26,90,22980,13924,61%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,B.1.4,Quantity of fortified food provided for girls and boys benefiting from emergency school-based programming,N/A,FALSE,N/A,Output,APR & ACR,NutriousFood,1,2,0,18,N/A
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,B.1.4,Quantity of fortified food provided for girls and boys benefiting from emergency school-based programming,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,1,7,0,215,N/A
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,B.1.5,Quantity of fortified food provided unconditionally or to restore infrastructure and community assets,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,1,2,162,1,0%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,B.2.1,Quantity of specialized nutritious foods provided to treat or prevent malnutrition,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,7,19,2175,3878,178%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,B.1.3,Quantity of fortified food provided for girls and boys benefiting from school-based programming,N/A,FALSE,N/A,Output,APR & ACR,NutriousFood,2,3,0,13,N/A
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,B.1.5,Quantity of fortified food provided unconditionally or to restore infrastructure and community assets,N/A,FALSE,N/A,Output,APR & ACR,NutriousFood,4,10,1563,510,33%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,B.1.5,Quantity of fortified food provided unconditionally or to restore infrastructure and community assets,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,12,37,9535,5945,62%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,B.2.1,Quantity of specialized nutritious foods provided to treat or prevent malnutrition,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,1,3,721,163,23%
Resources transferred,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",B.1.5,Quantity of fortified food provided unconditionally or to restore infrastructure and community assets,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,2,3,887,0,0%
Resources transferred,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",A.2.9,Quantity of food provided to schools through Home-Grown School-Based Programmes,N/A,FALSE,N/A,Output,APR & ACR,NutriousFood,1,1,31,0,0%
Resources transferred,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",B.1.3,Quantity of fortified food provided for girls and boys benefiting from school-based programming,N/A,FALSE,N/A,Output,APR & ACR,NutriousFood,1,3,0,648,N/A
Resources transferred,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",B.1.3,Quantity of fortified food provided for girls and boys benefiting from school-based programming,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,4,29,2571,2305,90%
